Row ID,Date,Hour,Category,DeviceTypeId,CurrencyId, Bet Amount in Original Currency ,CurrencyRate,PlayerID,WinAmount in Original Currency,Player Gender,Age
40030600857,12/28/2023,10:00:00.000,1,2,USD,2,1.0903,107992,5.86,Female,37
40025776840,12/23/2023,16:00:00.000,1,2,USD,1,1.0903,112355,1.8,Female,64
40024877413,12/22/2023,22:00:00.000,1,2,USD,1,1.0903,112355,0,Female,64
40018507565,12/17/2023,17:00:00.000,1,3,USD,1,1.0903,112355,1,Female,64
40034611663,12/31/2023,15:00:00.000,1,2,USD,231,1.0903,113403,0,Male,61
40027022789,12/24/2023,15:00:00.000,1,2,USD,20,1.0903,113403,0,Male,61
40031227026,12/28/2023,20:00:00.000,1,3,USD,0.18,1.0903,120214,0,Male,25
40027789579,12/25/2023,15:00:00.000,1,3,USD,20,1.0903,120214,0,Male,25
40025671728,12/23/2023,15:00:00.000,1,3,USD,20,1.0903,120214,0,Male,25
40021461553,12/20/2023,06:00:00.000,1,3,USD,9,1.0903,120214,5.64,Male,25
40020975201,12/19/2023,19:00:00.000,1,3,USD,5,1.0903,120214,0,Male,25
40020679212,12/19/2023,16:00:00.000,1,3,USD,26,1.0903,120214,6.85,Male,25
40021203776,12/19/2023,21:00:00.000,1,3,USD,3,1.0903,120214,3.51,Male,25
40021029826,12/19/2023,20:00:00.000,1,3,USD,24.63,1.0903,120214,14.53,Male,25
40020584803,12/19/2023,15:00:00.000,1,3,USD,33.5,1.0903,120214,32.17,Male,25
40020685868,12/19/2023,17:00:00.000,1,3,USD,15.09,1.0903,120214,25.37,Male,25
40020461403,12/19/2023,13:00:00.000,1,3,USD,54.45,1.0903,120214,48.71,Male,25
40020522748,12/19/2023,14:00:00.000,1,3,USD,48.8,1.0903,120214,52.23,Male,25
40020822613,12/19/2023,18:00:00.000,1,3,USD,72,1.0903,120214,72.63,Male,25
40018520371,12/17/2023,17:00:00.000,1,3,USD,10,1.0903,120214,0,Male,25
40018463912,12/17/2023,16:00:00.000,1,3,USD,72,1.0903,120214,48.5,Male,25
40018127669,12/17/2023,13:00:00.000,1,3,USD,83,1.0903,120214,0,Male,25
40017624752,12/17/2023,00:00:00.000,1,3,USD,55,1.0903,120214,35,Male,25
40017193272,12/16/2023,19:00:00.000,1,3,USD,61,1.0903,120214,27.4,Male,25
40017869403,12/17/2023,07:00:00.000,1,3,USD,40.6,1.0903,120214,48.65,Male,25
40017850478,12/17/2023,06:00:00.000,1,3,USD,20,1.0903,120214,32.6,Male,25
40017762879,12/17/2023,03:00:00.000,1,3,USD,95,1.0903,120214,76.8,Male,25
40017777287,12/17/2023,04:00:00.000,1,3,USD,93.43,1.0903,120214,95.42,Male,25
40017320177,12/16/2023,20:00:00.000,1,3,USD,53,1.0903,120214,73.45,Male,25
40017893945,12/17/2023,08:00:00.000,1,3,USD,85.6,1.0903,120214,113.17,Male,25
40017913618,12/17/2023,09:00:00.000,1,3,USD,83,1.0903,120214,110.48,Male,25
40017940449,12/17/2023,10:00:00.000,1,3,USD,75,1.0903,120214,124.2,Male,25
40017387017,12/16/2023,21:00:00.000,1,3,USD,197,1.0903,120214,208.25,Male,25
40017489963,12/16/2023,22:00:00.000,1,3,USD,139,1.0903,120214,167.91,Male,25
40017801262,12/17/2023,05:00:00.000,1,3,USD,126,1.0903,120214,127.45,Male,25
40017984444,12/17/2023,11:00:00.000,1,3,USD,195,1.0903,120214,221.5,Male,25
40017555682,12/16/2023,23:00:00.000,1,3,USD,110,1.0903,120214,127.31,Male,25
40018028973,12/17/2023,12:00:00.000,1,3,USD,168.1,1.0903,120214,134.19,Male,25
40016476851,12/16/2023,12:00:00.000,1,3,USD,9,1.0903,120214,0,Male,25
40016719232,12/16/2023,15:00:00.000,1,3,USD,35,1.0903,120214,27.6,Male,25
40016767332,12/16/2023,16:00:00.000,1,3,USD,65,1.0903,120214,63.8,Male,25
40017049036,12/16/2023,17:00:00.000,1,3,USD,150,1.0903,120214,127.6,Male,25
40016585139,12/16/2023,14:00:00.000,1,3,USD,67,1.0903,120214,112.32,Male,25
40017128802,12/16/2023,18:00:00.000,1,3,USD,113,1.0903,120214,131.17,Male,25
40016071852,12/15/2023,23:00:00.000,1,3,USD,20,1.0903,120214,0,Male,25
40015542782,12/15/2023,17:00:00.000,1,3,USD,65,1.0903,120214,0,Male,25
40015454150,12/15/2023,16:00:00.000,1,3,USD,269.4,1.0903,120214,41.5,Male,25
40016355234,12/16/2023,10:00:00.000,1,3,USD,20,1.0903,120214,12.96,Male,25
40015600124,12/15/2023,18:00:00.000,1,3,USD,15,1.0903,120214,23.1,Male,25
40015781494,12/15/2023,20:00:00.000,1,3,USD,10,1.0903,120214,19.84,Male,25
40016044785,12/15/2023,22:00:00.000,1,3,USD,45,1.0903,120214,32.51,Male,25
40015732519,12/15/2023,19:00:00.000,1,3,USD,83,1.0903,120214,65.3,Male,25
40016325485,12/16/2023,09:00:00.000,1,3,USD,10,1.0903,120214,15.2,Male,25
40015433591,12/15/2023,15:00:00.000,1,3,USD,198.8,1.0903,120214,163.28,Male,25
40015872077,12/15/2023,21:00:00.000,1,3,USD,67,1.0903,120214,45.37,Male,25
40016305653,12/16/2023,08:00:00.000,1,3,USD,10.25,1.0903,120214,14.63,Male,25
40015366888,12/15/2023,14:00:00.000,1,3,USD,216.95,1.0903,120214,241.89,Male,25
40014492081,12/14/2023,19:00:00.000,1,3,USD,0.26,1.0903,120214,0,Male,25
40015259728,12/15/2023,11:00:00.000,1,3,USD,110,1.0903,120214,0,Male,25
40034936863,12/31/2023,21:00:00.000,1,3,USD,50.89,1.0903,121233,0,Male,25
40034286022,12/31/2023,08:00:00.000,1,3,USD,63,1.0903,121233,0,Male,25
40034209939,12/31/2023,04:00:00.000,1,3,USD,33.93,1.0903,121233,48.75,Male,25
40034894711,12/31/2023,20:00:00.000,1,2,USD,25,1.0903,121233,65.75,Male,25
40034221074,12/31/2023,05:00:00.000,1,3,USD,20,1.0903,121233,43,Male,25
40027746674,12/25/2023,14:00:00.000,1,3,USD,90,1.0903,121233,0,Male,25
40028008131,12/25/2023,18:00:00.000,1,3,USD,63.39,1.0903,121233,0,Male,25
40027168063,12/24/2023,17:00:00.000,1,3,USD,30,1.0903,121233,0,Male,25
40027599709,12/25/2023,11:00:00.000,1,3,USD,75,1.0903,121233,0,Male,25
40027233165,12/24/2023,17:00:00.000,1,2,USD,28.9,1.0903,121233,0,Male,25
40027361617,12/24/2023,19:00:00.000,1,2,USD,21.38,1.0903,121233,0,Male,25
40027114597,12/24/2023,16:00:00.000,1,2,USD,28.08,1.0903,121233,28.08,Male,25
40026662501,12/24/2023,10:00:00.000,1,3,USD,73.26,1.0903,121233,134.07,Male,25
40027100304,12/24/2023,16:00:00.000,1,3,USD,28.08,1.0903,121233,78.9,Male,25
40027078258,12/24/2023,15:00:00.000,1,2,USD,68.48,1.0903,121233,144.06,Male,25
40026245436,12/23/2023,20:00:00.000,1,3,USD,40,1.0903,121233,0,Male,25
40026579668,12/24/2023,06:00:00.000,1,3,USD,21.09,1.0903,121233,0,Male,25
40026195112,12/23/2023,19:00:00.000,1,2,USD,30.01,1.0903,121233,0,Male,25
40026555112,12/24/2023,05:00:00.000,1,2,USD,20,1.0903,121233,0,Male,25
40025620780,12/23/2023,15:00:00.000,1,3,USD,200,1.0903,121233,0,Male,25
40026596521,12/24/2023,07:00:00.000,1,2,USD,11.56,1.0903,121233,50.53,Male,25
40026038233,12/23/2023,18:00:00.000,1,3,USD,116.32,1.0903,121233,237.29,Male,25
40026090443,12/23/2023,19:00:00.000,1,3,USD,25,1.0903,121233,95,Male,25
40026400721,12/23/2023,22:00:00.000,1,3,USD,40,1.0903,121233,74,Male,25
40026476749,12/24/2023,02:00:00.000,1,3,USD,75,1.0903,121233,160.5,Male,25
40026534823,12/24/2023,03:00:00.000,1,3,USD,24.8,1.0903,121233,133.67,Male,25
40025753534,12/23/2023,16:00:00.000,1,3,USD,90.37,1.0903,121233,177.54,Male,25
40024817701,12/22/2023,21:00:00.000,1,3,USD,24,1.0903,121233,0,Male,25
40024961740,12/23/2023,01:00:00.000,1,3,USD,50.23,1.0903,121233,0,Male,25
40024948263,12/23/2023,00:00:00.000,1,2,USD,25,1.0903,121233,0,Male,25
40025150141,12/23/2023,08:00:00.000,1,2,USD,20.2,1.0903,121233,0,Male,25
40025522091,12/23/2023,14:00:00.000,1,2,USD,30,1.0903,121233,0,Male,25
40025118112,12/23/2023,06:00:00.000,1,3,USD,42,1.0903,121233,0,Male,25
40024690846,12/22/2023,20:00:00.000,1,3,USD,104.35,1.0903,121233,64.23,Male,25
40025059272,12/23/2023,04:00:00.000,1,2,USD,24,1.0903,121233,24,Male,25
40025077685,12/23/2023,05:00:00.000,1,2,USD,20,1.0903,121233,43,Male,25
40025123004,12/23/2023,07:00:00.000,1,2,USD,25,1.0903,121233,50.75,Male,25
40025206669,12/23/2023,09:00:00.000,1,2,USD,25,1.0903,121233,53,Male,25
40025280749,12/23/2023,11:00:00.000,1,2,USD,22.63,1.0903,121233,39.15,Male,25
40025052043,12/23/2023,03:00:00.000,1,2,USD,68.78,1.0903,121233,134,Male,25
